dataset,subdataset,model_size,train_steps,final_image_auc,tb_dir,train_output_dir,test_output_dir,pretrain_penalty
mvtec_ad,bottle,medium,7000,99.92063492063492,/content/outputs/efficientad_runs/trainings/mvtec_ad/bottle/tensorboard,/content/outputs/efficientad_runs/trainings/mvtec_ad/bottle,/content/outputs/efficientad_runs/anomaly_maps/mvtec_ad/bottle/test,True
mvtec_loco,breakfast_box,medium,7000,84.04737617590389,/content/outputs/efficientad_runs/trainings/mvtec_loco/breakfast_box/tensorboard,/content/outputs/efficientad_runs/trainings/mvtec_loco/breakfast_box,/content/outputs/efficientad_runs/anomaly_maps/mvtec_loco/breakfast_box/test,True
